name,ranking,year,plays,wins,losses,win_rate,draws,obp,slg
해태,1,1991,126,79,42,0.6528925619834711,5,0.35,0.418
빙그레,2,1991,126,72,49,0.5950413223140496,5,0.353,0.433
삼성,3,1991,126,70,55,0.56,1,0.357,0.405
롯데,4,1991,126,61,62,0.4959349593495935,3,0.339,0.378
태평양,5,1991,126,55,69,0.4435483870967742,2,0.313,0.337
쌍방울,6,1991,126,52,71,0.42276422764227645,3,0.337,0.379
LG,7,1991,126,53,72,0.424,1,0.317,0.341
OB,8,1991,126,51,73,0.4112903225806452,2,0.321,0.35
롯데,1,1992,126,71,55,0.5634920634920635,0,0.366,0.417
빙그레,2,1992,126,81,43,0.6532258064516129,2,0.351,0.43
해태,3,1992,126,71,54,0.568,1,0.365,0.425
삼성,4,1992,126,67,57,0.5403225806451613,2,0.349,0.404
OB,5,1992,126,56,66,0.45901639344262296,4,0.332,0.393
태평양,6,1992,126,56,67,0.45528455284552843,3,0.33,0.381
LG,7,1992,126,53,70,0.43089430894308944,3,0.327,0.384
쌍방울,8,1992,126,41,84,0.328,1,0.341,0.37
해태,1,1993,126,81,42,0.6585365853658537,3,0.33,0.368
삼성,2,1993,126,73,48,0.6033057851239669,5,0.349,0.413
OB,3,1993,126,66,55,0.5454545454545454,5,0.328,0.36
LG,4,1993,126,66,57,0.5365853658536586,3,0.323,0.366
빙그레,5,1993,126,61,61,0.5,4,0.317,0.347
롯데,6,1993,126,62,63,0.496,1,0.319,0.328
쌍방울,7,1993,126,43,78,0.35537190082644626,5,0.301,0.301
태평양,8,1993,126,34,82,0.29310344827586204,10,0.29,0.299
LG,1,1994,126,81,45,0.6428571428571429,0,0.358,0.409
태평양,2,1994,126,68,55,0.5528455284552846,3,0.316,0.365
한화,3,1994,126,65,59,0.5241935483870968,2,0.324,0.345
해태,4,1994,126,65,59,0.5241935483870968,2,0.328,0.388
삼성,5,1994,126,60,64,0.4838709677419355,2,0.339,0.386
롯데,6,1994,126,56,67,0.45528455284552843,3,0.323,0.357
OB,7,1994,126,53,72,0.424,1,0.313,0.348
쌍방울,8,1994,126,47,74,0.3884297520661157,5,0.316,0.359
OB,1,1995,126,74,47,0.6115702479338843,5,0.326,0.399
롯데,2,1995,126,68,53,0.5619834710743802,5,0.333,0.364
LG,3,1995,126,74,48,0.6065573770491803,4,0.334,0.372
해태,4,1995,126,64,58,0.5245901639344263,4,0.309,0.345
삼성,5,1995,126,60,60,0.5,6,0.324,0.374
한화,6,1995,126,55,71,0.4365079365079365,0,0.323,0.38
태평양,7,1995,126,48,73,0.39669421487603307,5,0.305,0.345
쌍방울,8,1995,126,45,78,0.36585365853658536,3,0.32,0.364
해태,1,1996,126,73,51,0.5887096774193549,2,0.329,0.366
현대,2,1996,126,67,54,0.5537190082644629,5,0.318,0.371
쌍방울,3,1996,126,70,54,0.5645161290322581,2,0.34,0.369
한화,4,1996,126,70,55,0.56,1,0.327,0.372
롯데,5,1996,126,57,63,0.475,6,0.34,0.393
삼성,6,1996,126,54,67,0.4462809917355372,5,0.327,0.37
LG,7,1996,126,50,71,0.4132231404958678,5,0.33,0.364
OB,8,1996,126,47,73,0.39166666666666666,6,0.304,0.355
해태,1,1997,126,75,50,0.6,1,0.34,0.408
LG,2,1997,126,73,51,0.5887096774193549,2,0.343,0.394
