name,ranking,year,plays,wins,losses,draws,obp,slg,win_rate
해태,1,1991,126,79,42,5,0.350,0.418,0.653
빙그레,2,1991,126,72,49,5,0.353,0.433,0.595
삼성,3,1991,126,70,55,1,0.357,0.405,0.560
롯데,4,1991,126,61,62,3,0.339,0.378,0.496
태평양,5,1991,126,55,69,2,0.313,0.337,0.444
쌍방울,6,1991,126,52,71,3,0.337,0.379,0.423
LG,7,1991,126,53,72,1,0.317,0.341,0.424
OB,8,1991,126,51,73,2,0.321,0.350,0.411
롯데,1,1992,126,71,55,0,0.366,0.417,0.563
빙그레,2,1992,126,81,43,2,0.351,0.430,0.653
해태,3,1992,126,71,54,1,0.365,0.425,0.568
삼성,4,1992,126,67,57,2,0.349,0.404,0.540
OB,5,1992,126,56,66,4,0.332,0.393,0.459
태평양,6,1992,126,56,67,3,0.330,0.381,0.455
LG,7,1992,126,53,70,3,0.327,0.384,0.431
쌍방울,8,1992,126,41,84,1,0.341,0.370,0.328
해태,1,1993,126,81,42,3,0.330,0.368,0.659
삼성,2,1993,126,73,48,5,0.349,0.413,0.603
OB,3,1993,126,66,55,5,0.328,0.360,0.545
LG,4,1993,126,66,57,3,0.323,0.366,0.537
빙그레,5,1993,126,61,61,4,0.317,0.347,0.500
롯데,6,1993,126,62,63,1,0.319,0.328,0.496
쌍방울,7,1993,126,43,78,5,0.301,0.301,0.355
태평양,8,1993,126,34,82,10,0.290,0.299,0.293
LG,1,1994,126,81,45,0,0.358,0.409,0.643
태평양,2,1994,126,68,55,3,0.316,0.365,0.553
한화,3,1994,126,65,59,2,0.324,0.345,0.524
해태,4,1994,126,65,59,2,0.328,0.388,0.524
삼성,5,1994,126,60,64,2,0.339,0.386,0.484
롯데,6,1994,126,56,67,3,0.323,0.357,0.455
OB,7,1994,126,53,72,1,0.313,0.348,0.424
쌍방울,8,1994,126,47,74,5,0.316,0.359,0.388
OB,1,1995,126,74,47,5,0.326,0.399,0.612
롯데,2,1995,126,68,53,5,0.333,0.364,0.562
LG,3,1995,126,74,48,4,0.334,0.372,0.607
해태,4,1995,126,64,58,4,0.309,0.345,0.525
삼성,5,1995,126,60,60,6,0.324,0.374,0.500
한화,6,1995,126,55,71,0,0.323,0.380,0.437
태평양,7,1995,126,48,73,5,0.305,0.345,0.397
쌍방울,8,1995,126,45,78,3,0.320,0.364,0.366
해태,1,1996,126,73,51,2,0.329,0.366,0.589
현대,2,1996,126,67,54,5,0.318,0.371,0.554
쌍방울,3,1996,126,70,54,2,0.340,0.369,0.565
한화,4,1996,126,70,55,1,0.327,0.372,0.560
롯데,5,1996,126,57,63,6,0.340,0.393,0.475
삼성,6,1996,126,54,67,5,0.327,0.370,0.446
LG,7,1996,126,50,71,5,0.330,0.364,0.413
OB,8,1996,126,47,73,6,0.304,0.355,0.392
해태,1,1997,126,75,50,1,0.340,0.408,0.600
LG,2,1997,126,73,51,2,0.343,0.394,0.589
쌍방울,3,1997,126,71,53,2,0.351,0.414,0.573
삼성,4,1997,126,66,53,7,0.356,0.462,0.555
OB,5,1997,126,57,64,5,0.324,0.361,0.471
현대,6,1997,126,51,71,4,0.327,0.361,0.418
한화,7,1997,126,51,73,2,0.325,0.381,0.411
롯데,8,1997,126,48,77,1,0.305,0.345,0.384
현대,1,1998,126,81,45,0,0.344,0.434,0.643
LG,2,1998,126,63,62,1,0.339,0.401,0.504
삼성,3,1998,126,66,58,2,0.346,0.428,0.532
OB,4,1998,126,61,62,3,0.317,0.383,0.496
해태,5,1998,126,61,64,1,0.325,0.376,0.488
쌍방울,6,1998,126,58,66,2,0.334,0.391,0.468
한화,7,1998,126,55,66,5,0.316,0.392,0.455
롯데,8,1998,126,50,72,4,0.329,0.381,0.410
한화,1,1999,132,72,58,2,0.353,0.484,0.554
롯데,2,1999,132,75,52,5,0.363,0.461,0.591
두산,3,1999,132,76,51,5,0.355,0.438,0.598
삼성,4,1999,132,73,57,2,0.352,0.460,0.562
현대,5,1999,132,68,59,5,0.359,0.418,0.535
LG,6,1999,132,61,70,1,0.350,0.442,0.466
해태,7,1999,132,60,69,3,0.362,0.466,0.465
쌍방울,8,1999,132,28,97,7,0.319,0.358,0.224
현대,1,2000,133,91,40,2,0.365,0.483,0.695
LG,2,2000,133,67,63,3,0.356,0.414,0.515
롯데,3,2000,133,65,64,4,0.334,0.385,0.504
두산,4,2000,133,76,57,0,0.359,0.441,0.571
한화,5,2000,133,50,78,5,0.346,0.457,0.391
삼성,6,2000,133,69,59,5,0.348,0.447,0.539
SK,7,2000,133,44,86,3,0.332,0.383,0.338
해태,8,2000,133,57,72,4,0.333,0.363,0.442
두산,1,2001,133,65,63,5,0.359,0.421,0.508
삼성,2,2001,133,81,52,0,0.360,0.447,0.609
현대,3,2001,133,72,57,4,0.362,0.429,0.558
한화,4,2001,133,61,68,4,0.357,0.426,0.473
KIA,5,2001,133,60,68,5,0.353,0.428,0.469
LG,6,2001,133,58,67,8,0.363,0.391,0.464
SK,7,2001,133,60,71,2,0.337,0.391,0.458
롯데,8,2001,133,59,70,4,0.365,0.425,0.457
삼성,1,2002,133,82,47,4,0.360,0.472,0.636
